"Country","Year","Period","level1_code","mean_cover","sd"
"Kenya",2009,"Pre","SGR",4.21428571428571,3.24983516065486
"Kenya",2009,"Pre","SND",4.21666666666667,1.94507926145269
"Kenya",2009,"Pre","SPG",0.9,0.605530070819498
"Kenya",2010,"Pre","ACOR",5.33928571428571,2.89496768757233
"Kenya",2010,"Pre","AHAL",11.1230769230769,9.11712252176766
"Kenya",2010,"Pre","AMAC",12.5,8.87528981108613
"Kenya",2010,"Pre","ATRF",20.55,6.69715783574817
"Kenya",2010,"Pre","HC",29.175,8.12850516108873
"Kenya",2010,"Pre","RUB",10.0357142857143,6.05863746333183
"Kenya",2010,"Pre","SC",2.69090909090909,2.07482748461386
"Kenya",2010,"Pre","SGR",0.988888888888889,0.566666666666667
"Kenya",2010,"Pre","SND",6.43928571428571,8.99397615867738
"Kenya",2010,"Pre","SPG",0.835714285714286,0.645958129263735
"Kenya",2011,"Pre","ACOR",3.33846153846154,2.00397041791974
"Kenya",2011,"Pre","AHAL",11.5083333333333,10.7989442525507
"Kenya",2011,"Pre","AMAC",12.9076923076923,9.53541307779073
"Kenya",2011,"Pre","ATRF",22.4,9.08616163918149
"Kenya",2011,"Pre","DC",0,0
"Kenya",2011,"Pre","HC",27.3538461538462,8.46429908346574
"Kenya",2011,"Pre","INV",0,0
"Kenya",2011,"Pre","RDC",3.2,NA
"Kenya",2011,"Pre","RUB",13.3692307692308,7.89571451436206
"Kenya",2011,"Pre","SC",1.60769230769231,1.38531677391944
"Kenya",2011,"Pre","SGR",2.22307692307692,3.05754636000662
"Kenya",2011,"Pre","SND",5.22307692307692,7.79060907398066
"Kenya",2011,"Pre","SPG",0.736363636363636,1.51609546353304
"Kenya",2012,"Pre","ACOR",1.80357142857143,1.60149741056424
"Kenya",2012,"Pre","AHAL",9.62666666666667,11.9706466388571
"Kenya",2012,"Pre","AMAC",14.94,12.9036428964847
"Kenya",2012,"Pre","ATRF",22.5633333333333,13.5533135994047
"Kenya",2012,"Pre","BS",0,0
"Kenya",2012,"Pre","DC",0,0
"Kenya",2012,"Pre","HC",25.9033333333333,10.8507482735173
"Kenya",2012,"Pre","INV",2.51428571428571,6.52084569449612
"Kenya",2012,"Pre","RDC",0,0
"Kenya",2012,"Pre","RUB",13.0966666666667,12.7361755117722
"Kenya",2012,"Pre","SC",4.1,9.01524502479788
"Kenya",2012,"Pre","SGR",3.58,5.47115161551935
"Kenya",2012,"Pre","SND",3.72666666666667,5.60503175302165
"Kenya",2012,"Pre","SPG",0.403846153846154,0.97563260214026
"Kenya",2013,"Pre","ACOR",10.1727272727273,7.79359877195265
"Kenya",2013,"Pre","AHAL",7.57,8.89020059766182
"Kenya",2013,"Pre","AMAC",13.8363636363636,8.9860194443672
"Kenya",2013,"Pre","ATRF",12.4818181818182,8.85503452074786
"Kenya",2013,"Pre","BS",6.29,6.27117745456678
"Kenya",2013,"Pre","HC",30.9636363636364,7.02214678389347
"Kenya",2013,"Pre","INV",0.15,0.212132034355964
"Kenya",2013,"Pre","RUB",8.28181818181818,6.45922877467863
