"Transect_ID","LOCATION","SITE","lat","long"
"NosyVazoa_05","Ankarea","Nosy Vazoana (NV5)","",""
"NosyVazoa_05","Ankarea MPA","Nosy Vasoa","-12.74733333","48.67083333"
"NosyVazoa_05","Ratapenjika","Nosy Vazoa (NOSV5)","12.88339","48.63483"
"Plateau_13","Ankivonjy","Plateau","",""
"Plateau_13","Ankivonjy","Plateau (PLAT13)","",""
"Plateau_13","Ankivonjy MPA","Plateau Nord1","-12.74733333","48.67083333"
"Plateau_13","Iranja","PLAT13 (Plateau Nord 1)","13.50022","47.88247"
"Rata_12","Ankarea","Ratapenjky (RATA12)","",""
"Rata_12","Ankarea","Ratapenky","",""
"Rata_12","Ankarea MPA","Ratapenjika","-12.74733333","48.67083333"
"Rata_12","Ratapendrika","RATA 12 (Ratapenky)","12.93822","48.58303"
"Sal_N1_11","","Salary 1","22º60,613","43º25,129"
"Sal_N1_11","","Salary N1 (SAL-11)","22.60613","43.25129"
"Sal_N1_11","Salary N1","Salary_N1","",""
"Sal_N1_11","Soriake MPA","SalaryN1_TRA11","-22.60613","43.25129"
"Sal_N2_02","","ANJOK2","-22.6229","43.2573"
"Sal_N2_02","","Anjokozoko","22º52,290","43º25,730"
"Sal_N2_02","Anjokozoko","Anjokozoko","",""
"Sal_N2_02","Soriake MPA","SalaryN2","-22.6229","43.2573"
"Sal_N2_05","","Salary Nord 2 Nord","22º53,797","43º24,300"
"Sal_N2_05","","Salary_5","-22.53797","43.243"
"Sal_N2_05","Soriake","Salary N2 Nord","",""
"Sal_N2_05","Soriake MPA","Salary N2","-22.53797","43.243"
"Sal_N2_13","","Salary 13","-22.55948","43.22846"
"Sal_N2_13","","Salary Nord 2 Sud","",""
"Sal_N2_13","SalaryN2","SalaryN2_Sud","",""
"Sal_N2_13","Soriake MPA","Salary_N2_TRA13","-22.55948","42.456"
"Tsand_10","","TSAD10","-22.73958","43.31625"
"Tsand_10","","Tsandamba","22º73,958","43º31,625"
"Tsand_10","Soriake MPA","TsandambaTRA10","-22.73958","43.31625"
"Tsand_10","Tsandamba","Tsandamba","",""
"Tsara_08","Ankarea","Tsarabanjina","",""
"Tsara_08","Ankarea","Tsarabanjina (TSA8)","",""
"Tsara_08","Ankarea MPA","Tsarabanjina","-12.74733333","48.67083333"
"Tsara_08","Ratapenjika","TSARA8 (TSARABANJINA)","13.03494","48.54942"
