Country,Year,Sector,Site,Station,Reef.zone,Period,benthic_name,benthic_code,Organization,Source,mean_cover,sd
Tanzania,1999,NA,Mafia,Kitutia,NA,Pre,Spongy,SPG,,GCRMN,0,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Algae-coralline,ACOR,,GCRMN,2,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,3,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Bare substrate,BS,,GCRMN,3,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Dead Standing coral,DC,,GCRMN,28,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Coral,HC,,GCRMN,49,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Recent Dead Coral,RDC,,GCRMN,0,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Rubble,RUB,,GCRMN,10,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Soft coral,SC,,GCRMN,0,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Seagrass,SGR,,GCRMN,0,NA
Tanzania,2008,NA,Tanga,Kitanga,NA,Pre,Spongy,SPG,,GCRMN,0,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Algae-coralline,ACOR,,GCRMN,1,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,2,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Bare substrate,BS,,GCRMN,5,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Dead Standing coral,DC,,GCRMN,20,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Coral,HC,,GCRMN,60,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Recent Dead Coral,RDC,,GCRMN,2,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Rubble,RUB,,GCRMN,5,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Soft coral,SC,,GCRMN,0,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Seagrass,SGR,,GCRMN,1,NA
Tanzania,2007,NA,Tanga,Kitanga,NA,Pre,Spongy,SPG,,GCRMN,0,NA
Tanzania,2001,NA,Tanga,Kitanga,NA,Pre,Coral,HC,,GCRMN,65,NA
Tanzania,2001,NA,Tanga,Kitanga,NA,Pre,Recent Dead Coral,RDC,,GCRMN,0,NA
Tanzania,2000,NA,Tanga,Kitanga,NA,Pre,Coral,HC,,GCRMN,54,NA
Tanzania,2000,NA,Tanga,Kitanga,NA,Pre,Recent Dead Coral,RDC,,GCRMN,3,NA
Tanzania,1999,NA,Tanga,Kitanga,NA,Pre,Coral,HC,,GCRMN,50,NA
Tanzania,1999,NA,Tanga,Kitanga,NA,Pre,Recent Dead Coral,RDC,,GCRMN,0,NA
Tanzania,1998,NA,Tanga,Kitanga,NA,Pre,Coral,HC,,GCRMN,47,NA
Tanzania,1998,NA,Tanga,Kitanga,NA,Pre,Recent Dead Coral,RDC,,GCRMN,0,NA
Tanzania,2010,NA,Tanga,Funguni,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,50.25,NA
Tanzania,2010,NA,Tanga,Funguni,NA,Pre,Coral,HC,,GCRMN,14.875,NA
Tanzania,2004,NA,Tanga,Funguni,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,27.44444444,NA
Tanzania,1996,NA,Tanga,Funguni,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,40,NA
Tanzania,2007,NA,Zanzibar,Chapwani,NA,Pre,Algae-coralline,ACOR,,GCRMN,1,NA
Tanzania,2007,NA,Zanzibar,Chapwani,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,3,NA
Tanzania,2007,NA,Zanzibar,Chapwani,NA,Pre,Bare substrate,BS,,GCRMN,40,NA
Tanzania,2007,NA,Zanzibar,Chapwani,NA,Pre,Dead Standing coral,DC,,GCRMN,14,NA
Tanzania,2007,NA,Zanzibar,Chapwani,NA,Pre,Coral,HC,,GCRMN,36,NA
Tanzania,2007,NA,Zanzibar,Chapwani,NA,Pre,Soft coral,SC,,GCRMN,3,NA
Tanzania,2007,NA,Zanzibar,Chapwani,NA,Pre,Spongy,SPG,,GCRMN,0,NA
Tanzania,2006,NA,Zanzibar,Chapwani,NA,Pre,Algae-coralline,ACOR,,GCRMN,0,NA
Tanzania,2006,NA,Zanzibar,Chapwani,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,3,NA
Tanzania,2006,NA,Zanzibar,Chapwani,NA,Pre,Bare substrate,BS,,GCRMN,42,NA
Tanzania,2006,NA,Zanzibar,Chapwani,NA,Pre,Dead Standing coral,DC,,GCRMN,12,NA
Tanzania,2006,NA,Zanzibar,Chapwani,NA,Pre,Coral,HC,,GCRMN,36,NA
Tanzania,2006,NA,Zanzibar,Chapwani,NA,Pre,Soft coral,SC,,GCRMN,3,NA
Tanzania,2006,NA,Zanzibar,Chapwani,NA,Pre,Spongy,SPG,,GCRMN,0,NA
Tanzania,2005,NA,Zanzibar,Chapwani,NA,Pre,Algae-coralline,ACOR,,GCRMN,0,NA
Tanzania,2005,NA,Zanzibar,Chapwani,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,1,NA
Tanzania,2005,NA,Zanzibar,Chapwani,NA,Pre,Bare substrate,BS,,GCRMN,42,NA
