"Country","Year","Sector","Site","Station","Reef.zone","benthic_name2","benthic_code","mean_cover","sd","Organization","Period","Source"
"Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",27,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Coral","HC",15,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",2,NA,"","Pre","GCRMN"
"Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",53,NA,"","Pre","GCRMN"
"Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",25,NA,"","Pre","GCRMN"
"Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",5,NA,"","Pre","GCRMN"
"Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Coral","HC",14,NA,"","Pre","GCRMN"
"Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",51,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",9,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",21,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Coral","HC",16,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",1,NA,"","Pre","GCRMN"
"Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",48,NA,"","Pre","GCRMN"
"Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",8,NA,"","Pre","GCRMN"
"Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",25,NA,"","Pre","GCRMN"
"Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Coral","HC",15,NA,"","Pre","GCRMN"
"Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",1,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",45,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",5,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",31,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Coral","HC",14,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",2,NA,"","Pre","GCRMN"
"Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",51,NA,"","Pre","GCRMN"
"Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",25,NA,"","Pre","GCRMN"
"Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",4,NA,"","Pre","GCRMN"
"Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Coral","HC",15,NA,"","Pre","GCRMN"
"Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN"
"Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",41,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",17,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",24,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Coral","HC",15,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",33,NA,"","Pre","GCRMN"
