"Country","Year","Sector","Site","Station","Reef.zone","Period","site.id","FA","HC"
"Kenya",2006,NA,"Mombasa","Starfish",NA,"Pre","Kenya_Mombasa_Starfish",57.4,18.8
"Kenya",2007,"","Watamu","Coral_Garden",NA,"Pre","Kenya_Watamu_Coral_Garden",39.9,33.7
"Kenya",2007,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",47,23
"Kenya",2007,NA,"Kisite","Light_house",NA,"Pre","Kenya_Kisite_Light_house",44,13.6
"Kenya",2007,NA,"Kisite","Mkwiro",NA,"Pre","Kenya_Kisite_Mkwiro",54.2,16.1
"Kenya",2007,NA,"Malindi","Mayunguni",NA,"Pre","Kenya_Malindi_Mayunguni",58.7,12.7
"Kenya",2007,NA,"Malindi","New_Coral_Garden",NA,"Pre","Kenya_Malindi_New_Coral_Garden",42.8,19.1
"Kenya",2007,NA,"Malindi","North_Reef",NA,"Pre","Kenya_Malindi_North_Reef",24.3,29.4
"Kenya",2007,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",27.8,23.5
"Kenya",2007,NA,"Mombasa","Coral_Garden",NA,"Pre","Kenya_Mombasa_Coral_Garden",52.3,19.1
"Kenya",2007,NA,"Mombasa","Nyali",NA,"Pre","Kenya_Mombasa_Nyali",41.2,36.2
"Kenya",2007,NA,"Mombasa","Ras_Iwatine",NA,"Pre","Kenya_Mombasa_Ras_Iwatine",40.6,30.3
"Kenya",2007,NA,"Mombasa","Starfish",NA,"Pre","Kenya_Mombasa_Starfish",51.8,21.6
"Kenya",2008,"","Watamu","Coral_Garden",NA,"Pre","Kenya_Watamu_Coral_Garden",41.7,22.1
"Kenya",2008,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",58.1,25.3
"Kenya",2008,NA,"Kilifi","Kanamai",NA,"Pre","Kenya_Kilifi_Kanamai",12.7,24.3
"Kenya",2008,NA,"Kisite","Light_house",NA,"Pre","Kenya_Kisite_Light_house",47.15,26.25
"Kenya",2008,NA,"Kisite","Mkwiro",NA,"Pre","Kenya_Kisite_Mkwiro",30,36.5
"Kenya",2008,NA,"Malindi","Mayunguni",NA,"Pre","Kenya_Malindi_Mayunguni",47.05,14.95
