"Country","Site","Station","Reef.zone","pre_coral_cover","post_coral_cover","year_gap","pct.chg"
"Seychelles","Desroches","Aquarium","C",17,17.6,1,3.52941176470589
"Seychelles","Alphonse","A15","C",68.8,72,0,4.65116279069768
"Seychelles","Mahe NW","Corsaire_Reef","C",16.91,18.47,1,9.22531046717918
"Seychelles","Alphonse","A11","C",51.5,60.6,0,17.6699029126214
"Seychelles","Cerf Island","Cerf_Island","Reef Flat",33,61,1,84.8484848484848
"Seychelles","Cerf Island","Habitation","Reef Flat",27,52,1,92.5925925925926
"Seychelles","Mahe NW","Conception_Central_East_Face","C",2.77,11.79,1,325.631768953069
"Tanzania","Zanzibar","Chapwani",NA,62.27,14.433333334,2,-76.8213693046411
"Tanzania","Mafia","Utumbi",NA,44,18.683333334,2,-57.5378787863636
"Tanzania","Zanzibar","Murogo",NA,67.84,32.716666667,2,-51.7737814460495
"Tanzania","Zanzibar","Chumbe_MPA",NA,65.39,32.61,1,-50.1299892949992
"Tanzania","Tanga","Maziwe_South",NA,56.43,37.04,1,-34.361155413787
"Tanzania","Songosongo","Machangi_East",NA,70,65.58,2,-6.31428571428572
"Tanzania","Tanga","Makome",NA,47.78,45.86,1,-4.01841774801172
"Tanzania","Zanzibar","Bawe",NA,27.23,26.650000002,1,-2.13000366507529
"Tanzania","Mafia","Kitutia",NA,45,49.216666673,2,9.37037038444444
"Tanzania","Songosongo","Songosongo",NA,25,29.2,2,16.8
"Tanzania","Tanga","Taa",NA,43.89,52.775,1,20.2437912964229
"Tanzania","Songosongo","Pwayasi",NA,53,70.91,2,33.7924528301887
"Tanzania","Songosongo","Amana_South",NA,35,49.38,2,41.0857142857143
"Tanzania","Tanga","Funguni",NA,10,16.8,1,68
"Tanzania","Songosongo","Jewe",NA,27,54,2,100
"Tanzania","Mafia","Yuyuni",NA,16,34.950000004,2,118.437500025
