"Country","Site","Station","Period","benthic_category","recent_year","no_years_benthic","recent_cover","ave_cover","cover","paste(algae_r1$Site, algae_r1$Station, sep = """")"
"Kenya","Malindi","North_Reef","Pre","HC",2015,3,16,20.8666666666667,20.8666666666667,"MalindiNorth_Reef"
"Kenya","Malindi","North_Reef","Post","FA",2017,1,60.33,60.33,60.33,"MalindiNorth_Reef"
"Kenya","Malindi","North_Reef","Post","HC",2017,1,23,23,23,"MalindiNorth_Reef"
"Kenya","Malindi","Old_Coral_Garden","Pre","FA",2015,3,9.5,30.3666666666667,30.3666666666667,"MalindiOld_Coral_Garden"
"Kenya","Malindi","Old_Coral_Garden","Pre","HC",2015,3,22.5,30.7333333333333,30.7333333333333,"MalindiOld_Coral_Garden"
"Kenya","Malindi","Old_Coral_Garden","Post","FA",2016,1,13.18,13.18,13.18,"MalindiOld_Coral_Garden"
"Kenya","Malindi","Old_Coral_Garden","Post","HC",2016,1,24.64,24.64,24.64,"MalindiOld_Coral_Garden"
"Kenya","Mombasa","Coral_Garden","Pre","FA",2013,2,37.8,43,43,"MombasaCoral_Garden"
"Kenya","Mombasa","Coral_Garden","Pre","HC",2013,2,32,35.55,35.55,"MombasaCoral_Garden"
"Kenya","Mombasa","Coral_Garden","Post","FA",2016,1,18.82,18.82,18.82,"MombasaCoral_Garden"
"Kenya","Mombasa","Coral_Garden","Post","HC",2016,1,34.36,34.36,34.36,"MombasaCoral_Garden"
"Kenya","Mombasa","Nyali","Pre","FA",2013,2,27.4,37.3,37.3,"MombasaNyali"
"Kenya","Mombasa","Nyali","Pre","HC",2013,2,28.6,21.6,21.6,"MombasaNyali"
"Kenya","Mombasa","Nyali","Post","FA",2016,1,4.24,4.24,4.24,"MombasaNyali"
"Kenya","Mombasa","Nyali","Post","HC",2016,1,25.37,25.37,25.37,"MombasaNyali"
"Kenya","Mombasa","Ras_Iwatine","Pre","FA",2013,2,23.3,37.35,37.35,"MombasaRas_Iwatine"
"Kenya","Mombasa","Ras_Iwatine","Pre","HC",2013,2,29.2,22,22,"MombasaRas_Iwatine"
