Country,Site,Station,zone,Latitude,Longitude
Kenya,Diani_Chale,Komeo_la_Mwananyamala,,-4.590045537,39.75065574
Kenya,Diani_Chale,Konodzuru,,-4.437878871,39.53990574
Kenya,Kiunga_MNR,Kui,,-1.828833333,41.44475
Kenya,Kiunga_MNR,Kupi,,-1.832916667,41.43794444
Kenya,Kiunga_MNR,Kwa_Radi,,-1.924111111,41.35988889
Kenya,Watamu,Lambis,,-3.386055555,39.98930555
Kenya,Diani-Chale,Ligagana_,,-4.417795537,39.54912796
Kenya,Diani_Chale,Ligagana_,,-4.417795537,39.54912796
Kenya,Mombasa,Likoni,,-4.09337,39.6861
Kenya,Diani-Chale,Limwinyumwinyu,,-4.585323315,39.63676685
Kenya,Kiunga_MNR,Magogoni,,-1.883066667,41.40168333
Kenya,Lamu,Majongooni,,-2.218386009,41.02975197
Kenya,Lamu,Majongooni,,-2.218386009,41.02975197
Kenya,Southcoast,Makokokwe,,-4.722,39.335
Kenya,Diani-Chale,Makonde,,-4.408378871,39.5543224
Kenya,Lamu,Manda-Toto,,-2.217428964,40.97798701
Kenya,Malindi-Ugwana_bay,Marereni,,-3.03160403,40.19718
Kenya,Diani_Chale,Masikati,,-4.337035519,39.5720337
Kenya,Southcoast,Masolini,,-4.722,39.335
Kenya,Malindi,Mayungu,,-3.24667,40.14635
Kenya,Diani-Chale,Mchingamo_mwadudu,,-4.45801776,39.52885018
Kenya,Kiunga_MNR,Melini,,-4.45801776,39.52985018
Kenya,Kiunga_MNR,Mike's_inner,,-4.43801776,39.48885018
Kenya,Kiunga_MNR,Mike's_outer,,-4.45801776,39.52985018
Kenya,Kiunga_MNR,Mketeni,,-4.53801776,39.52885018
Kenya,Kiunga_MNR,Mketeni,,-2.04522,41.27631
Kenya,Diani-Chale,Mkingamo_gazi,,-4.45801776,39.52985018
Kenya,Kiunga_MNR,Mkokoni_Coral_Garden,,-1.96355,41.30437
Kenya,Diani_Chale,Mkono_wa_gutu,,-4.363376093,39.56516129
Kenya,Southcoast,Mkwiro,,-4.501333,39.622
Kenya,Kiunga_MNR,Ml._Hindi,,-1.907916667,41.37144444
Kenya,Kiunga_MNR,Mlango_Mkuu,,-1.7706,41.51121667
Kenya,Lamu,Mlangoni-Manda,,-2.225382971,41.00930801
Kenya,Diani_Chale,Moana_lagoon,,-4.590045537,39.68148907
Kenya,Watamu,Moray,,-3.378833,40.010731
Kenya,Southcoast,Mpunguti-Lower,,-4.683,39.397
Kenya,Southcoast,Mpunguti-Upper,,-4.695,39.411
Kenya,Diani-Chale,Mtengo,,-4.339795537,39.57290574
Kenya,Lamu,Mw._Kitau,,-2.314833333,41.00676667
Kenya,Kiunga_MNR,Mw._Mkuu,,-1.7706,41.51121667
Kenya,Lamu,Mw._Pate,,-2.183833333,41.05818333
Kenya,Diani_Chale,Mwagogo,,-4.31326776,39.58443352
Kenya,Diani-Chale,Mwamba_mkubwa,,-4.364878871,39.5713224
Kenya,Lamu,Mwamba_Nguri,,-2.281,41.00356667
Kenya,Lamu,Mwamba_Nguri,,-2.281,41.00356667
Kenya,Diani-Chale,Mwamba_wa_Chala,,-4.370378871,39.56787796
Kenya,Diani-Chale,Mwamba_wa_Mwatajiri,,-4.354818333,39.57148333
Kenya,Diani-Chale,Mwamba_wa_Rashidi,,-4.351118333,39.57138333
Kenya,Diani-Chale,Mwanadzinani,,-4.380716667,39.56411667
Kenya,Diani_Chale,Mwananyamala,,-4.313906648,39.57935018
Kenya,Diani-Chale,Mwanyundo,,-4.33626776,39.57518352
Kenya,Southcoast,Mwarembo,,-4.33626776,39.57518352
Kenya,Diani-Chale,Mwaromba,,-4.397851093,39.55646129
Kenya,Southcoast,Mwipa,,-4.692,39.315
Kenya,Malindi,New_Coral_Garden,,-3.25588,40.14112
Kenya,Diani_Chale,Ngomani,,-4.4138,39.54765
Kenya,Diani-Chale,Nguma,,-4.342073315,39.5728224
Kenya,Diani-Chale,Ngunguluni,,-4.2151833,39.3370833
Kenya,Diani-Chale,Njau,,-4.310212204,39.58535018
Kenya,Malindi,North_Reef,,-3.27312,40.13018
Kenya,Mombasa,Nyali,,-4.06173,39.7097
Kenya,Malindi,Old_Coral_Garden,,-3.25955,40.14607
Kenya,Lamu,Pezali_Rock,,-2.20333999,41.05569698
Kenya,Mombasa,Ras_Iwatine,,-4.01667,39.73333
Kenya,Watamu,Richard_Bernets,,-3.379166667,39.99638333
Kenya,Diani_Chale,Seacrest_lagoon,,-4.40976776,39.71954463
Kenya,Mombasa,Shark_Point,,-3.97082,39.77167
Kenya,Mombasa,Shelly,,-4.10413,39.6861
Kenya,Kiunga_MNR,Shili,,-1.704116667,41.52975
Kenya,Diani-Chale,Shimo_la_chitsanga,,-4.412406648,39.5513224
Kenya,Diani-Chale,shimo_la_mlango,,-4.411968333,39.54863333
Kenya,Kiunga_MNR,Shimo_la_Tewa,,-2.042957407,41.24666296
Kenya,Southcoast,Sii_Island_west,,-4.678,39.281
Kenya,Kiunga_MNR,Soio,,-2.002611111,41.29755556
Kenya,Kiunga_MNR,Soio,,-2.00261,41.29756
Kenya,Lamu,Tenewi_North,,-2.477724021,40.77136899
Kenya,Lamu,Tenewi_South,,-2.476841994,40.77224096
Kenya,Diani-Chale,Tsipitali,,-4.382333333,39.56745
Kenya,Diani_Chale,Tsuini,,-4.407823315,39.59676685
Kenya,Watamu,Turtle_Reef,,-3.377394,40.004581
Kenya,Lamu,Utende,,-2.35865,40.91526667
Kenya,Lamu,Utende,,-2.35865,40.91526667
Kenya,Watamu,Uyombo,,-3.46,39.97672222
Kenya,Diani_Chale,Vidzyani,,-4.400601093,39.78621129
Kenya,Southcoast,Wasini_Tengefu,,-4.646,39.377
La Reunion,NA,Alize Plage PE,,-21.34857,55.47102
La Reunion,NA,Alize Plage PL,,-21.34558,55.47233
La Reunion,NA,Etang Sale PE,,-21.26878,55.32828
La Reunion,NA,Etang Sale PL,,-21.26951,55.33292
La Reunion,NA,La Corne PE,,-21.16404,55.28261
La Reunion,NA,La Corne PL,,-21.16572,55.28474
La Reunion,NA,La Varangue PE,,-21.17355,55.28249
La Reunion,NA,La Varangue PL,,-21.17339,55.28579
La Reunion,NA,Planch'Alizes PE,,-21.099,55.22969
La Reunion,NA,Planch'Alizes PL,,-21.09635,55.23277
La Reunion,NA,Ravine Blanche PE,,-21.34575,55.4592
La Reunion,NA,Ravine Blanche PL,,-21.34255,55.46116
