"Period","Site","mean_cover","se","n","pct.chg"
"Pre","Mafia",35,9.50438495292217,3,NA
"Post","Mafia",34.283333337,8.82051480982996,3,-2.04761903714285
"Pre","Songosongo",42,8.56737999624156,5,NA
"Post","Songosongo",53.814,7.2672412922649,5,28.1285714285714
"Pre","Tanga",39.525,10.1845589824335,4,NA
"Post","Tanga",38.11875,7.80163133982246,4,-3.55787476280835
"Pre","Zanzibar",55.6825,9.55240054907666,4,NA
"Post","Zanzibar",26.60250000075,4.29693654321434,4,-52.2246666353882
